,country,iso,region,score,rank,change,year,standard_deviation,range
1423,Central African Republic,CAF,SSA,2,151,11,2008,1.9 - 2.2,
1424,Chad,TCD,SSA,1.6,173,-1,2008,1.5 - 1.7,
1425,Chile,CHL,AME,6.9,23,-1,2008,6.5 - 7.2,
1426,China,CHN,AP,3.6,72,0,2008,3.1 - 4.3,
1427,Colombia,COL,AME,3.8,70,-2,2008,3.3 - 4.5,
1428,Comoros,COM,SSA,2.5,134,-11,2008,1.9 - 3.0,
1429,Congo,COG,SSA,1.9,158,-8,2008,1.8 - 2.0,
1430,Costa Rica,CRI,AME,5.1,47,-1,2008,4.8 - 5.3,
1431,Cote d'Ivoire,CIV,SSA,2,151,-1,2008,1.7 - 2.5,
1432,Croatia,HRV,WE/EU,4.4,62,2,2008,4.0 - 4.8,
1433,Cuba,CUB,AME,4.3,65,-4,2008,3.6 - 4.8,
1434,Cyprus,CYP,WE/EU,6.4,31,8,2008,5.9 - 6.8,
1435,Czech Republic,CZE,WE/EU,5.2,45,-4,2008,4.8 - 5.9,
1436,Democratic Republic of the Congo,COD,SSA,1.7,171,-3,2008,1.6 - 1.9,
1437,Denmark,DNK,WE/EU,9.3,1,0,2008,9.1 - 9.4,
1438,Djibouti,DJI,SSA,3,102,3,2008,2.2 - 3.3,
1439,Dominica,DMA,AME,6,33,4,2008,4.7 - 6.8,
1440,Dominican Republic,DOM,AME,3,102,-3,2008,2.7 - 3.2,
1441,Ecuador,ECU,AME,2,151,-1,2008,1.8 - 2.2,
1442,Egypt,EGY,MENA,2.8,115,-10,2008,2.4 - 3.2,
1443,El Salvador,SLV,AME,3.9,67,0,2008,3.2 - 4.5,
1444,Equatorial Guinea,GNQ,SSA,1.7,171,-3,2008,1.5 - 1.8,
1445,Eritrea,ERI,SSA,2.6,126,-15,2008,1.7 - 3.6,
1446,Estonia,EST,WE/EU,6.6,27,1,2008,6.2 - 6.9,
1447,Ethiopia,ETH,SSA,2.6,126,12,2008,2.2 - 2.9,
1448,Finland,FIN,WE/EU,9,5,-4,2008,8.4 - 9.4,
1449,France,FRA,WE/EU,6.9,23,-4,2008,6.5 - 7.3,
1450,Gabon,GAB,SSA,3.1,96,-12,2008,2.8 - 3.3,
1451,Gambia,GMB,SSA,1.9,158,-15,2008,3.2 - 4.6,
1452,Georgia,GEO,ECA,3.9,67,12,2008,3.2 - 4.6,
1453,Germany,DEU,WE/EU,7.9,14,2,2008,7.5 - 8.2,
1454,Ghana,GHA,SSA,3.9,67,2,2008,3.4 - 4.5,
1455,Greece,GRC,WE/EU,4.7,57,-1,2008,4.2 - 5.0,
1456,Guatemala,GTM,AME,3.1,96,15,2008,2.3 - 4.0,
1457,Guinea,GIN,SSA,1.6,173,-5,2008,1.3 - 1.9,
1458,Guinea Bissau,GNB,SSA,1.9,158,-11,2008,1.8 - 2.0,
1459,Guyana,GUY,AME,2.6,126,-3,2008,2.4 - 2.7,
1460,Haiti,HTI,AME,1.4,177,0,2008,1.1 - 1.7,
1461,Honduras,HND,AME,2.6,126,5,2008,2.3 - 2.9,
1462,Hong Kong,HKG,AP,8.1,12,2,2008,7.5 - 8.6,
1463,Hungary,HUN,WE/EU,5.1,47,-8,2008,4.8 - 5.4,
1464,Iceland,ISL,WE/EU,8.9,7,-1,2008,8.1 - 9.4,
1465,India,IND,AP,3.4,85,-13,2008,3.2 - 3.6,
1466,Indonesia,IDN,AP,2.6,126,17,2008,2.3 - 2.9,
1467,Iran,IRN,MENA,2.3,141,-10,2008,1.9 - 2.5,
1468,Iraq,IRQ,MENA,1.3,178,0,2008,1.1 - 1.6,
1469,Ireland,IRL,WE/EU,7.7,16,1,2008,7.5 - 7.9,
1470,Israel,ISR,MENA,6,33,-3,2008,5.6 - 6.3,
1471,Italy,ITA,WE/EU,4.8,55,-14,2008,4.0 - 5.5,
1472,Jamaica,JAM,AME,3.1,96,-12,2008,2.8 - 3.3,
1473,Japan,JPN,AP,7.3,18,-1,2008,7.0 - 7.6,
1474,Jordan,JOR,MENA,5.1,47,6,2008,4.0 - 6.2,
1475,Kazakhstan,KAZ,ECA,2.2,145,5,2008,1.8 - 2.7,
1476,Kenya,KEN,SSA,2.1,147,3,2008,1.9 - 2.4,
1477,"Korea, South",KOR,AP,5.6,40,3,2008,5.1 - 6.3,
1478,Kribati,KIR,AP,3.1,96,-12,2008,2.5 - 3.4,
1479,Kuwait,KWT,MENA,4.3,65,-5,2008,3.3 - 5.2,
1480,Kyrgyzstan,KGZ,ECA,1.8,166,-16,2008,1.7 - 1.9,
1481,Laos,LAO,AP,2,151,17,2008,1.6 - 2.3,
1482,Latvia,LVA,WE/EU,5,52,-1,2008,4.8 - 5.2,
1483,Lebanon,LBN,MENA,3,102,-3,2008,2.2 - 3.6,
1484,Lesotho,LSO,SSA,3.2,92,-8,2008,2.3 - 3.8,
1485,Liberia,LBR,SSA,2.4,138,12,2008,1.8 - 2.8,
1486,Libya,LBY,MENA,2.6,126,5,2008,2.2 - 3.0,
1487,Lithuania,LTU,WE/EU,4.6,58,-7,2008,4.1 - 5.2,
1488,Luxembourg,LUX,WE/EU,8.3,11,1,2008,7.8 - 8.8,
1489,Macao,MAC,MO,5.4,43,-9,2008,3.9 - 6.2,
1490,Madagascar,MDG,SSA,3.4,85,9,2008,2.8 - 4.0,
1491,Malawi,MWI,SSA,2.8,115,3,2008,2.4 - 3.1,
1492,Malaysia,MYS,AP,5.1,47,-4,2008,4.5 - 5.7,
1493,Maldives,MDV,AP,2.8,115,-31,2008,1.7 - 4.3,
1494,Mali,MLI,SSA,3.1,96,22,2008,2.8 - 3.3,
1495,Malta,MLT,WE/EU,5.8,36,-3,2008,5.3 - 6.3,
1496,Mauritania,MRT,SSA,2.8,115,8,2008,2.2 - 3.7,
1497,Mauritius,MUS,SSA,5.5,41,12,2008,4.9 - 6.4,
1498,Mexico,MEX,AME,3.6,72,0,2008,3.4 - 3.9,
1499,Moldova,MDA,ECA,2.9,109,2,2008,2.4 - 3.7,
1500,Mongolia,MNG,AP,3,102,-3,2008,2.6 - 3.3,
1501,Montenegro,MNE,ECA,3.4,85,-1,2008,2-5 - 4.0,
1502,Morocco,MAR,MENA,3.5,80,-8,2008,3.0 - 4.0,
1503,Mozambique,MOZ,SSA,2.6,126,-15,2008,2.4 - 2.9,
1504,Myanmar,MMR,AP,1.3,178,1,2008,1.0 - 1.5,
1505,Namibia,NAM,SSA,4.5,61,-4,2008,3.8 - 5.1,
1506,Nepal,NPL,AP,2.7,121,10,2008,2.4 - 3.0,
1507,Netherlands,NLD,WE/EU,8.9,7,0,2008,8.5 - 9.1,
1508,New Zealand,NZL,AP,9.3,1,0,2008,9.2 - 9.5,
1509,Nicaragua,NIC,AME,2.5,134,-11,2008,2.2 - 2.7,
1510,Niger,NER,SSA,2.8,115,8,2008,2.4 - 3.0,
1511,Nigeria,NGA,SSA,2.7,121,26,2008,2.3 - 3.0,
1512,North Macedonia,MKD,ECA,3.6,72,12,2008,2.9 - 4.3,
1513,Norway,NOR,WE/EU,7.9,14,-5,2008,7.5 - 8.3,
1514,Oman,OMN,MENA,5.5,41,12,2008,4.5 - 6.4,
1515,Pakistan,PAK,AP,2.5,134,4,2008,2.8 - 3.7,
1516,Panama,PAN,AME,3.4,85,9,2008,2.8 - 3.7,
1517,Papua New Guinea,PNG,AP,2,151,11,2008,1.6 - 2.3,
1518,Paraguay,PRY,AME,2.4,138,0,2008,2.0 - 2.7,
1519,Peru,PER,AME,3.6,72,0,2008,3.4 - 4.1,
1520,Philippines,PHL,AP,2.3,141,-10,2008,2.1 - 2.5,
1521,Poland,POL,WE/EU,4.6,58,3,2008,4.0 - 5.2,
1522,Portugal,PRT,WE/EU,6.1,32,-4,2008,5.6 - 6.7,
1523,Puerto Rico,PRI,AM,5.8,36,-35,2008,5.0 - 6.6,
1524,Qatar,QAT,MENA,6.5,28,4,2008,5.6 - 7.0,
1525,Romania,ROU,WE/EU,3.8,70,-1,2008,3.4 - 4.2,
1526,Russia,RUS,ECA,2.1,147,-4,2008,1.9 - 2.5,
1527,Rwanda,RWA,SSA,3,102,9,2008,2.7 - 3.2,
1528,Saint Lucia,LCA,AME,7.1,21,3,2008,6.6 - 7.3,
1529,Saint Vincent and the Grenadines,VCT,AME,6.5,28,2,2008,4.7 - 7.3,
1530,Samoa,WSM,AS,4.4,62,-5,2008,3.4 - 4.8,
1531,Sao Tome and Principe,STP,SSA,2.7,121,-3,2008,2.1 - 3.1,
1532,Saudi Arabia,SAU,MENA,3.5,80,-1,2008,3.0 - 3.9,
1533,Senegal,SEN,SSA,3.4,85,-14,2008,2.9 - 4.0,
1534,Serbia,SRB,ECA,3.4,85,-6,2008,3.0 - 4.0,
1535,Seychelles,SYC,SSA,4.8,55,2,2008,3.7 - 5.9,
1536,Sierra Leone,SLE,SSA,1.9,158,-8,2008,1.8 - 2.0,
1537,Singapore,SGP,AP,9.2,4,0,2008,9.0 - 9.3,
1538,Slovakia,SVK,WE/EU,5,52,-3,2008,4.5 - 5.3,
1539,Slovenia,SVN,WE/EU,6.7,26,1,2008,6.5 - 7.0,
1540,Solomon Islands,SLB,AP,2.9,109,2,2008,2.5 - 3.2,
1541,Somalia,SOM,SSA,1,180,-1,2008,0.5 - 1.4,
1542,South Africa,ZAF,SSA,4.9,54,-11,2008,4.5 - 5.1,
1543,Spain,ESP,WE/EU,6.5,28,-3,2008,5.7 - 6.9,
1544,Sri Lanka,LKA,AP,3.2,92,2,2008,2.9 - 3.5,
1545,Sudan,SDN,SSA,1.6,173,-1,2008,1.5 - 1.7,
1546,Suriname,SUR,AME,3.6,72,0,2008,3.3 - 4.0,
1547,Swaziland,SWZ,AME,3.6,72,12,2008,2.9 - 4.3,
1548,Sweden,SWE,WE/EU,9.3,1,3,2008,9.2 - 9.4,
1549,Switzerland,CHE,WE/EU,9,5,2,2008,8.7 - 9.2,
1550,Syria,SYR,MENA,2.1,147,-9,2008,1.6 - 2.4,
1551,Taiwan,TWN,AP,5.7,39,-5,2008,5.4 - 6.0,
1552,Tajikistan,TJK,ECA,2,151,-1,2008,1.7 - 2.3,
1553,Tanzania,TZA,SSA,3,102,-8,2008,2.5 - 3.3,
1554,Thailand,THA,AP,3.5,80,4,2008,3.0 - 3.9,
1555,Timor-Leste,TLS,AP,2.2,145,-22,2008,1.8 - 2.5,
1556,Togo,TGO,SSA,2.7,121,22,2008,1.9 - 3.7,
1557,Tonga,TON,AP,2.4,138,37,2008,1.9 - 2.6,
1558,Trinidad and Tobago,TTO,AME,3.6,72,7,2008,3.1 - 4.0,
1559,Tunisia,TUN,MENA,4.4,62,-1,2008,3.5 - 5.5,
1560,Turkey,TUR,ECA,4.6,58,6,2008,4.1 - 5.1,
1561,Turkmenistan,TKM,ECA,1.8,166,-4,2008,1.5 - 2.2,
1562,Uganda,UGA,SSA,2.6,126,-15,2008,2.2 - 3.0,
1563,Ukraine,UKR,ECA,2.5,134,-16,2008,2.2 - 2.8,
1564,United Arab Emirates,ARE,MENA,5.9,35,-1,2008,4.8 - 6.8,
1565,United Kingdom,GBR,WE/EU,7.7,16,-4,2008,7.2 - 8.1,
1566,United States of America,USA,AME,7.3,18,2,2008,6.7 - 7.7,
1567,Uruguay,URY,AME,6.9,23,2,2008,6.5 - 7.2,
1568,Uzbekistan,UZB,ECA,1.8,166,9,2008,1.5 - 2.2,
1569,Vanuatu,VUT,AP,2.9,109,-11,2008,2.5 - 3.2,
1570,Venezuela,VEN,AME,1.9,158,4,2008,1.8 - 2.0,
1571,Vietnam,VNM,AP,2.7,121,2,2008,2.4 - 3.1,
1572,Yemen,YEM,MENA,2.3,141,-10,2008,1.5 - 2.2,
1573,Zambia,ZMB,SSA,2.8,115,8,2008,2.5 - 3.0,
1574,Zimbabwe,ZWE,SSA,1.8,166,-16,2008,1.5 - 2.1,
1575,New Zealand,NZL,AP,9.4,1,0,2009,9.1 - 9.5,
1576,Denmark,DNK,WE/EU,9.3,2,-1,2009,9.1 - 9.5,
1577,Singapore,SGP,AP,9.2,3,1,2009,9.0 - 9.4,
1578,Sweden,SWE,WE/EU,9.2,3,-2,2009,9.0 - 9.3,
1579,Switzerland,CHE,WE/EU,9,5,0,2009,8.9 - 9.1,
1580,Finland,FIN,WE/EU,8.9,6,-1,2009,8.4 - 9.4,
1581,Netherlands,NLD,WE/EU,8.9,6,1,2009,8.7 - 9.0,
1582,Australia,AUS,AP,8.7,8,1,2009,8.3 - 9.0,
1583,Canada,CAN,AME,8.7,8,1,2009,8.5 - 9.0,
1584,Iceland,ISL,WE/EU,8.7,8,-1,2009,7.5 - 9.4,
1585,Norway,NOR,WE/EU,8.6,11,3,2009,8.2 - 9.1,
1586,Hong Kong,HKG,AP,8.2,12,0,2009,7.9 - 8.5,
1587,Luxembourg,LUX,WE/EU,8.2,12,-1,2009,7.6 - 8.8,
1588,Germany,DEU,WE/EU,8,14,0,2009,7.7 - 8.3,
1589,Ireland,ISL,WE/EU,8,14,-7,2009,7.8 - 8.4,
1590,Austria,AUT,WE/EU,7.9,16,-4,2009,7.4 - 8.3,
1591,Japan,JPN,AP,7.7,17,1,2009,7.4 - 8.0,
1592,United Kingdom,GBR,WE/EU,7.7,17,-1,2009,7.3 - 8.2,
1593,United States,USA,AME,7.5,19,-1,2009,6.9 - 8.0,
1594,Barbados,BRB,AME,7.4,20,2,2009,6.6 - 8.2,
1595,Belgium,BEL,WE/EU,7.1,21,-3,2009,6.9 - 7.3,
1596,Qatar,QAT,MENA,7,22,6,2009,5.8 - 8.1,
1597,Saint Lucia,LCA,AME,7,22,-1,2009,6.7 - 7.5,
1598,France,FRA,WE/EU,6.9,24,-1,2009,6.5 - 7.3,
1599,Chile,CHL,AME,6.7,25,-2,2009,6.5 - 6.9,
1600,Uruguay,URY,AME,6.7,25,-2,2009,6.4 - 7.1,
1601,Cyprus,CYP,WE/EU,6.6,27,4,2009,6.1 - 7.1,
1602,Estonia,EST,WE/EU,6.6,27,0,2009,6.1 - 6.9,
1603,Slovenia,SLV,AME,6.6,27,40,2009,6.3 - 6.9,
1604,United Arab Emirates,ARE,MENA,6.5,30,5,2009,5.5 - 7.5,
1605,Saint Vincent and the Grenadines,SVN,WE/EU,6.4,31,-5,2009,4.9 - 7.5,
1606,Israel,ISR,MENA,6.1,32,1,2009,5.4 - 6.7,
1607,Spain,ESP,WE/EU,6.1,32,-4,2009,5.5 - 6.6,
1608,Dominica,DMA,AME,5.9,34,-1,2009,4.9 - 6.7,
1609,Portugal,PRT,WE/EU,5.8,35,-3,2009,5.5 - 6.2,
1610,Puerto Rico,PRI,AME,5.8,35,1,2009,5.2 - 6.3,
1611,Botswana,BWA,SSA,5.6,37,-1,2009,5.1 - 6.3,
1612,Taiwan,TWN,AP,5.6,37,2,2009,5.4 - 5.9,
1613,Brunei Darussalam,BRN,AP,5.5,39,137,2009,4.7 - 6.4,
1614,Oman,OMN,MENA,5.5,39,2,2009,4.4 - 6.5,
1615,South Korea,KOR,AP,5.5,39,1,2009,5.3 - 5.7,
1616,Mauritius,MUS,SSA,5.4,42,-1,2009,5.0 - 5.9,
1617,Costa Rica,CRI,AME,5.3,43,4,2009,4.7 - 5.9,
1618,Macao,MAC,AP,5.3,43,0,2009,3.3 - 6.9,
1619,Malta,MLT,WE/EU,5.2,45,-9,2009,4.0 - 6.2,
1620,Bahrain,BHR,MENA,5.1,46,-3,2009,4.2 - 5.8,
1621,Cape Verde,CPV,SSA,5.1,46,1,2009,3.3 - 7.0,
1622,Hungary,HUN,WE/EU,5.1,46,1,2009,4.6 - 5.7,
1623,Bhutan,BTN,AP,5,49,-4,2009,4.3 - 5.6,
1624,Jordan,JOR,MENA,5,49,-2,2009,3.9 - 6.1,
1625,Poland,POL,WE/EU,5,49,9,2009,4.5 - 5.5,
1626,Czech Republic,CZE,WE/EU,4.9,52,-7,2009,4.3 - 5.6,
1627,Lithuania,LTU,WE/EU,4.9,52,6,2009,4.4 - 5.4,
1628,Seychelles,SYC,SSA,4.8,54,1,2009,3.0 - 6.7,
1629,South Africa,ZAF,SSA,4.7,55,-1,2009,4.3 - 4.9,
1630,Latvia,LVA,WE/EU,4.5,56,-4,2009,4.1 - 4.9,
1631,Malaysia,MYS,AP,4.5,56,-9,2009,4.0 - 5.1,
1632,Namibia,NAM,SSA,4.5,56,5,2009,3.9 - 5.1,
1633,Samoa,WSM,AP,4.5,56,6,2009,3.3 - 5.3,
1634,Slovakia,SVK,WE/EU,4.5,56,-4,2009,4.1 - 4.9,
1635,Cuba,CUB,AME,4.4,61,4,2009,3.5 - 5.1,
1636,Turkey,TUR,ECA,4.4,61,-3,2009,3.9 - 4.9,
1637,Italy,ITA,WE/EU,4.3,63,-8,2009,3.8 - 4.9,
1638,Saudi Arabia,SAU,MENA,4.3,63,17,2009,3.1 - 5.3,
1639,Tunisia,TUN,MENA,4.2,65,-3,2009,3.0 - 5.5,
1640,Croatia,HRV,WE/EU,4.1,66,-4,2009,3.7 - 4.5,
1641,Georgia,GEO,ECA,4.1,66,1,2009,3.4 - 4.7,
1642,Kuwait,KWT,MENA,4.1,66,-1,2009,3.2 - 5.1,
1643,Ghana,GHA,SSA,3.9,69,-2,2009,3.2 - 4.6,
1644,Montenegro,MNE,ECA,3.9,69,16,2009,3.5 - 4.4,
1645,Bulgaria,BGR,WE/EU,3.8,71,1,2009,3.2 - 4.5,
1646,FYR Macedonia,MKD,ECA,3.8,71,1,2009,3.4 - 4.2,
1647,Greece,GRC,WE/EU,3.8,71,-14,2009,3.2 - 4.3,
1648,Romania,ROU,WE/EU,3.8,71,-1,2009,3.2 - 4.3,
1649,Brazil,BRA,AME,3.7,75,5,2009,3.3 - 4.3,
1650,Colombia,COL,AME,3.7,75,-5,2009,3.1 - 4.3,
1651,Peru,PER,AME,3.7,75,-3,2009,3.4 - 4.1,
1652,Suriname,SUR,AME,3.7,75,-3,2009,3.0 - 4.7,
1653,Burkina Faso,BFA,SSA,3.6,79,1,2009,2.8 - 4.4,
1654,China,CHN,AP,3.6,79,-7,2009,3.0 - 4.2,
1655,Swaziland,SWZ,AP,3.6,79,-7,2009,3.0 - 4.7,
1656,Trinidad and Tobago,TTO,AME,3.6,79,-7,2009,3.0 - 4.3,
1657,Serbia,SRB,ECA,3.5,83,2,2009,3.3 - 3.9,
1658,El Salvador,SLV,AME,3.4,84,-17,2009,3.0 - 3.8,
1659,Guatemala,GTM,AME,3.4,84,12,2009,3.0 - 3.9,
1660,India,IND,AP,3.4,84,1,2009,3.2 - 3.6,
1661,Panama,PAN,AME,3.4,84,1,2009,3.1 - 3.7,
1662,Thailand,THA,AP,3.4,84,-4,2009,3.0 - 3.8,
1663,Lesotho,LSO,SSA,3.3,89,3,2009,2.8 - 3.8,
1664,Malawi,MWI,SSA,3.3,89,26,2009,2.7 - 3.9,
1665,Mexico,MEX,AME,3.3,89,-17,2009,3.2 - 3.5,
1666,Moldova,MDA,ECA,3.3,89,20,2009,2.7 - 4.0,
1667,Morocco,MAR,MENA,3.3,89,-9,2009,2.8 - 3.9,
1668,Rwanda,RWA,SSA,3.3,89,13,2009,2.9 - 3.7,
1669,Albania,ALB,ECA,3.2,95,-10,2009,3.0 - 3.3,
1670,Vanuatu,VUT,AP,3.2,95,14,2009,2.3 - 4.7,
1671,Liberia,LBR,SSA,3.1,97,41,2009,1.9 - 3.8,
1672,Sri Lanka,LKA,AP,3.1,97,-5,2009,2.8 - 3.4,
1673,Bosnia and Herzegovina,BIH,ECA,3,99,-7,2009,2.6 - 3.4,
1674,Dominican Republic,DOM,AME,3,99,3,2009,2.9 - 3.2,
1675,Jamaica,JAM,AME,3,99,-3,2009,2.8 - 3.3,
1676,Madagascar,MDG,SSA,3,99,-14,2009,2.8 - 3.2,
1677,Senegal,SEN,SSA,3,99,-14,2009,2.5 - 3.6,
1678,Tonga,TON,AP,3,99,39,2009,2.6 - 3.3,
1679,Zambia,ZMB,SSA,3,99,16,2009,2.8 - 3.2,
1680,Argentina,ARG,AME,2.9,106,3,2009,2.6 - 3.1,
1681,Benin,BEN,SSA,2.9,106,-10,2009,2.3 - 3.4,
1682,Gabon,GAB,SSA,2.9,106,-10,2009,2.6 - 3.1,
1683,Gambia,GMB,SSA,2.9,106,52,2009,1.6 - 4.0,
1684,Niger,NER,SSA,2.9,106,9,2009,2.7 - 3.0,
1685,Algeria,DZA,MENA,2.8,111,-19,2009,2.5 - 3.1,
1686,Djibouti,DJI,SSA,2.8,111,-9,2009,2.3 - 3.2,
1687,Egypt,EGY,MENA,2.8,111,4,2009,2.6 - 3.1,
1688,Indonesia,IDN,AP,2.8,111,15,2009,2.4 - 3.2,
1689,Kiribati,KIR,AP,2.8,111,-15,2009,2.3 - 3.3,
1690,Mali,MLI,SSA,2.8,111,-15,2009,2.4 - 3.2,
1691,Sao Tome and Principe,STP,SSA,2.8,111,10,2009,2.4 - 3.3,
1692,Solomon Islands,SLB,AP,2.8,111,-2,2009,2.3 - 3.3,
1693,Togo,TGO,SSA,2.8,111,10,2009,1.9 - 3.9,
1694,Armenia,ARM,ECA,2.7,120,-11,2009,2.6 - 2.8,
1695,Bolivia,BOL,AME,2.7,120,-18,2009,2.4 - 3.1,
1696,Ethiopia,ETH,SSA,2.7,120,6,2009,2.4 - 2.9,
1697,Kazakhstan,KAZ,ECA,2.7,120,25,2009,2.1 - 3.3,
1698,Mongolia,MNG,AP,2.7,120,-18,2009,2.4 - 3.0,
1699,Viet Nam,VNM,AP,2.7,120,1,2009,2.4 - 3.1,
1700,Eritrea,ERI,SSA,2.6,126,0,2009,1.6 - 3.8,
1701,Guyana,GUY,AME,2.6,126,0,2009,2.5 - 2.7,
1702,Syria,SYR,MENA,2.6,126,21,2009,2.2 - 2.9,
1703,Tanzania,TZA,SSA,2.6,126,-24,2009,2.4 - 2.9,
1704,Honduras,HND,AME,2.5,130,-4,2009,2.2 - 2.8,
1705,Lebanon,LBN,MENA,2.5,130,-28,2009,1.9 - 3.1,
1706,Libya,LBY,MENA,2.5,130,-4,2009,2.2 - 2.8,
1707,Maldives,MDV,AP,2.5,130,-15,2009,1.8 - 3.2,
1708,Mauritania,MRT,SSA,2.5,130,-15,2009,2.0 - 3.3,
1709,Mozambique,MOZ,SSA,2.5,130,-4,2009,2.3 - 2.8,
1710,Nicaragua,NIC,AME,2.5,130,4,2009,2.3 - 2.7,
1711,Nigeria,NGA,SSA,2.5,130,-9,2009,2.2 - 2.7,
1712,Uganda,UGA,SSA,2.5,130,-4,2009,2.1 - 2.8,
1713,Bangladesh,BGD,AP,2.4,139,8,2009,2.0 - 2.8,
1714,Belarus,BLR,ECA,2.4,139,12,2009,2.0 - 2.8,
1715,Pakistan,PAK,AP,2.4,139,-5,2009,2.1 - 2.7,
1716,Philippines,PHL,AP,2.4,139,2,2009,2.1 - 2.7,
1717,Azerbaijan,AZE,ECA,2.3,143,15,2009,2.0 - 2.6,
1718,Comoros,COM,SSA,2.3,143,-9,2009,1.6 - 3.3,
1719,Nepal,NPL,AP,2.3,143,-22,2009,2.0 - 2.6,
1720,Cameroon,CMR,SSA,2.2,146,-5,2009,1.9 - 2.6,
1721,Ecuador,ECU,AME,2.2,146,5,2009,2.0 - 2.5,
1722,Kenya,KEN,SSA,2.2,146,1,2009,1.9 - 2.5,
1723,Russia,RUS,ECA,2.2,146,1,2009,1.9 - 2.4,
1724,Sierra Leone,SLE,SSA,2.2,146,12,2009,1.9 - 2.4,
1725,Timor-Leste,TLS,AP,2.2,146,-1,2009,1.8 - 2.6,
1726,Ukraine,UKR,ECA,2.2,146,-12,2009,2.0 - 2.6,
1727,Zimbabwe,ZWE,SSA,2.2,146,20,2009,1.7 - 2.8,
1728,Cu00f4te du00b4Ivoire,CIV,SSA,2.1,154,-3,2009,1.8 - 2.4,
1729,Papua New Guinea,PNG,AP,2.1,154,-3,2009,1.7 - 2.5,
1730,Paraguay,PRY,AME,2.1,154,-16,2009,1.7 - 2.5,
1731,Yemen,YEM,MENA,2.1,154,-13,2009,1.6 - 2.5,
1732,Cambodia,KHM,AP,2,158,8,2009,1.8 - 2.2,
1733,Central African Republic,CAF,SSA,2,158,-7,2009,1.9 - 2.2,
1734,Laos,LAO,AP,2,158,-7,2009,1.6 - 2.6,
1735,Tajikistan,TJK,ECA,2,158,-7,2009,1.6 - 2.5,
1736,Angola,AGO,SSA,1.9,162,-4,2009,1.8 - 1.9,
1737,Congo Republic,COG,SSA,1.9,162,-4,2009,1.6 - 2.1,
1738,Congo Democratic Republic,COD,SSA,1.9,162,9,2009,1.7 - 2.1,
1739,Guinea-Bissau,GNB,SSA,1.9,162,-4,2009,1.8 - 2.0,
1740,Kyrgyzstan,KGZ,ECA,1.9,162,4,2009,1.8 - 2.1,
1741,Venezuela,VEN,AME,1.9,162,-4,2009,1.8 - 2.0,
1742,Burundi,BDI,SSA,1.8,168,-10,2009,1.6 - 2.0,
1743,Equatorial Guinea,GNQ,SSA,1.8,168,3,2009,1.6 - 1.9,
1744,Guinea,GIN,SSA,1.8,168,5,2009,1.7 - 1.8,
1745,Haiti,HTI,AME,1.8,168,9,2009,1.4 - 2.3,
1746,Iran,IRN,MENA,1.8,168,-27,2009,1.7 - 1.9,
1747,Turkmenistan,TKM,ECA,1.8,168,-2,2009,1.7 - 1.9,
1748,Uzbekistan,UZB,ECA,1.7,174,-8,2009,1.5 - 1.8,
1749,Chad,TCD,SSA,1.6,175,-2,2009,1.5 - 1.7,
1750,Iraq,IRQ,MENA,1.5,176,2,2009,1.2 - 1.8,
1751,Sudan,SDN,SSA,1.5,176,-3,2009,1.4 - 1.7,
1752,Myanmar,MMR,AP,1.4,178,0,2009,0.9 - 1.8,
1753,Afghanistan,AFG,AP,1.3,179,-3,2009,1.0 - 1.5,
1754,Somalia,SOM,SSA,1.1,180,0,2009,0.9 - 1.4,
1755,Denmark,DNK,WE/EU,9.3,1,1,2010,9.1 - 9.4,
1756,New Zealand,NZL,AP,9.3,1,0,2010,9.2 - 9.5,
1757,Singapore,SGP,AP,9.3,1,2,2010,9.2 - 9.4,
1758,Finland,FIN,WE/EU,9.2,4,2,2010,9.1 - 9.3,
