,country,iso,region,score,rank,change,year,standard_deviation,range
1759,Sweden,SWE,WE/EU,9.2,4,-1,2010,9.1 - 9.4,
1760,Canada,CAN,AME,8.9,6,2,2010,8.7 - 9.0,
1761,Netherlands,NLD,WE/EU,8.8,7,-1,2010,8.7 - 9.0,
1762,Australia,AUS,AP,8.7,8,0,2010,8.3 - 9.0,
1763,Switzerland,CHE,WE/EU,8.7,8,-3,2010,8.3 - 9.1,
1764,Norway,NOR,WE/EU,8.6,10,1,2010,8.1 - 9.0,
1765,Iceland,ISL,WE/EU,8.5,11,-3,2010,7.7 - 9.2,
1766,Luxembourg,LUX,WE/EU,8.5,11,1,2010,8.0 - 8.9,
1767,Hong Kong,HKG,AP,8.4,13,-1,2010,8.1 - 8.7,
1768,Ireland,IRL,WE/EU,8,14,-13,2010,7.7 - 8.3,
1769,Austria,AUT,WE/EU,7.9,15,1,2010,7.4 - 8.4,
1770,Germany,DEU,WE/EU,7.9,15,-1,2010,7.5 - 8.3,
1771,Barbados,BRB,AME,7.8,17,3,2010,7.1 - 8.5,
1772,Japan,JPN,AP,7.8,17,0,2010,7.5 - 8.2,
1773,Qatar,QAT,MENA,7.7,19,3,2010,6.6 - 8.6,
1774,United Kingdom,GBR,WE/EU,7.6,20,-3,2010,7.3 - 7.9,
1775,Chile,CHL,AME,7.2,21,4,2010,7.0 - 7.4,
1776,Belgium,BEL,WE/EU,7.1,22,-1,2010,6.9 - 7.2,
1777,United States,USA,AME,7.1,22,-3,2010,6.5 - 7.7,
1778,Uruguay,URY,AME,6.9,24,1,2010,6.5 - 7.1,
1779,France,FRA,WE/EU,6.8,25,-1,2010,6.4 - 7.2,
1780,Estonia,EST,WE/EU,6.5,26,1,2010,6.1 - 6.8,
1781,Slovenia,SVN,WE/EU,6.4,27,4,2010,5.9 - 6.8,
1782,Cyprus,CYP,WE/EU,6.3,28,-1,2010,6.0 - 6.6,
1783,United Arab Emirates,ARE,MENA,6.3,28,2,2010,5.4 - 7.3,
1784,Israel,ISR,MENA,6.1,30,2,2010,5.7 - 6.6,
1785,Spain,ESP,WE/EU,6.1,30,2,2010,5.7 - 6.5,
1786,Portugal,PRT,WE/EU,6,32,3,2010,5.4 - 6.7,
1787,Botswana,BWA,SSA,5.8,33,4,2010,5.4 - 6.2,
1788,Puerto Rico,PRI,AME,5.8,33,2,2010,5.3 - 6.4,
1789,Taiwan,TWN,AP,5.8,36,1,2010,5.5 - 6.2,
1790,Bhutan,BTN,AP,5.7,37,12,2010,5.1 - 6.2,
1791,Brunei,BRN,AP,5.5,38,1,2010,5.3 - 5.8,
1792,Malta,MLT,WE/EU,5.6,39,6,2010,4.7 - 6.1,
1793,Korea (South),KOR,AP,5.4,41,-2,2010,5.1 - 5.7,
1794,Mauritius,MUS,SSA,5.4,41,1,2010,4.9 - 5.9,
1795,Costa Rica,CRI,AME,5.3,41,2,2010,4.7 - 6.0,
1796,Oman,OMN,MENA,5.3,44,-5,2010,4.1 - 6.4,
1797,Poland,POL,WE/EU,5.3,45,4,2010,5.0 - 5.5,
1798,Dominica,DMA,AME,5.2,46,-12,2010,4.7 - 5.8,
1799,Cape Verde,CPV,SSA,5.1,48,-2,2010,4.1 - 6.1,
1800,Lithuania,LTU,WE/EU,5,49,3,2010,4.4 - 5.5,
1801,Macau,MAC,AP,5,50,-7,2010,3.4 - 5.8,
1802,Bahrain,BHR,MENA,4.9,50,-4,2010,4.1 - 5.7,
1803,Seychelles,SYC,SSA,4.8,50,4,2010,3.0 - 6.8,
1804,Hungary,HUN,WE/EU,4.7,53,-7,2010,3.9 - 5.5,
1805,Jordan,JOR,MENA,4.7,54,-5,2010,4.0 - 5.5,
1806,Saudi Arabia,SAU,MENA,4.7,54,9,2010,3.3 - 6.0,
1807,Czech Republic,CZE,WE/EU,4.6,56,-4,2010,4.1 - 5.1,
1808,Kuwait,KWT,MENA,4.5,56,10,2010,3.3 - 5.9,
1809,South Africa,ZAF,SSA,4.5,56,-1,2010,4.1 - 4.8,
1810,Malaysia,MYS,AP,4.4,59,-3,2010,3.9 - 4.9,
1811,Namibia,NAM,SSA,4.4,59,-3,2010,3.9 - 4.9,
1812,Turkey,TUR,ECA,4.4,59,2,2010,4.0 - 4.8,
1813,Latvia,LVA,WE/EU,4.3,62,-6,2010,3.7 - 4.8,
1814,Slovakia,SVK,WE/EU,4.3,62,-6,2010,3.8 - 4.9,
1815,Tunisia,TUN,MENA,4.3,66,-1,2010,3.0 - 5.6,
1816,FYR Macedonia,MKD,ECA,4.1,67,4,2010,3.7 - 4.5,
1817,Ghana,GHA,SSA,4.1,68,1,2010,3.7 - 4.5,
1818,Samoa,WSM,AP,4.1,69,-13,2010,3.4 - 4.7,
1819,Croatia,HRV,WE/EU,4.1,69,-3,2010,3.4 - 4.7,
1820,Rwanda,RWA,SSA,4,69,20,2010,3.2 - 5.1,
1821,Italy,ITA,WE/EU,3.9,69,-6,2010,3.5 - 4.4,
1822,Brazil,BRA,AME,3.7,69,6,2010,3.0 - 4.7,
1823,Georgia,GEO,ECA,3.8,73,-7,2010,3.2 - 4.3,
1824,Cuba,CUB,AME,3.7,73,-12,2010,2.6 - 5.1,
1825,Montenegro,MNE,ECA,3.7,73,-4,2010,3.1 - 4.3,
1826,Romania,ROU,WE/EU,3.7,73,-2,2010,3.3 - 4.2,
1827,Bulgaria,BGR,WE/EU,3.6,78,-7,2010,3.2 - 4.0,
1828,El Salvador,SLV,AME,3.6,78,-51,2010,3.4 - 3.8,
1829,Panama,PAN,AME,3.6,78,6,2010,3.2 - 4.1,
1830,Trinidad and Tobago,TTO,AME,3.6,78,1,2010,3.0 - 4.3,
1831,Vanuatu,VUT,AP,3.6,78,17,2010,2.3 - 5.8,
1832,China,CHN,AP,3.5,78,1,2010,3.0 - 4.0,
1833,Colombia,COL,AME,3.5,78,-3,2010,3.2 - 4.0,
1834,Greece,GRC,WE/EU,3.5,85,-14,2010,3.1 - 3.9,
1835,Lesotho,LSO,SSA,3.5,85,4,2010,2.8 - 4.4,
1836,Peru,PER,AME,3.5,87,-12,2010,3.4 - 3.6,
1837,Serbia,SRB,ECA,3.5,87,-4,2010,3.1 - 3.9,
1838,Thailand,THA,AP,3.5,87,-3,2010,3.2 - 3.9,
1839,Malawi,MWI,SSA,3.4,87,2,2010,2.8 - 3.9,
1840,Morocco,MAR,MENA,3.4,91,-2,2010,2.9 - 3.9,
1841,Albania,ALB,ECA,3.3,91,4,2010,3.0 - 3.6,
1842,India,IND,AP,3.3,91,-7,2010,3.0 - 3.5,
1843,Jamaica,JAM,AME,3.3,91,8,2010,3.0 - 3.4,
1844,Liberia,LBR,SSA,3.3,91,6,2010,2.7 - 3.9,
1845,Bosnia and Herzegovina,BIH,ECA,3.2,98,1,2010,2.8 - 3.5,
1846,Djibouti,DJI,SSA,3.2,98,13,2010,2.1 - 4.7,
1847,Gambia,GMB,SSA,3.2,98,8,2010,1.9 - 4.4,
1848,Guatemala,GTM,AME,3.2,101,-17,2010,3.0 - 3.4,
1849,Kiribati,KIR,AP,3.2,101,10,2010,2.3 - 4.7,
1850,Sri Lanka,LKA,AP,3.2,101,-4,2010,2.9 - 3.6,
1851,Swaziland,SWZ,AP,3.2,105,-26,2010,3.1 - 3.4,
1852,Burkina Faso,BFA,SSA,3.1,105,-26,2010,2.4 - 3.8,
1853,Egypt,EGY,MENA,3.1,105,6,2010,2.9 - 3.4,
1854,Mexico,MEX,AME,3.1,105,-16,2010,2.9 - 3.3,
1855,Dominican Republic,DOM,AME,3,105,-6,2010,2.7 - 3.2,
1856,Sao Tome and Principe,STP,SSA,3,110,1,2010,2.6 - 3.3,
1857,Tonga,TON,AP,3,110,-11,2010,2.6 - 3.3,
1858,Zambia,ZMB,SSA,3,110,-11,2010,2.7 - 3.3,
1859,Algeria,DZA,MENA,2.9,110,1,2010,2.6 - 3.2,
1860,Argentina,ARG,AME,2.9,110,-4,2010,2.6 - 3.2,
1861,Kazakhstan,KAZ,ECA,2.9,110,10,2010,2.2 - 3.7,
1862,Moldova,MDA,ECA,2.9,116,-27,2010,2.7 - 3.2,
1863,Senegal,SEN,SSA,2.9,116,-17,2010,2.6 - 3.1,
1864,Benin,BEN,SSA,2.8,116,-10,2010,2.3 - 3.3,
1865,Bolivia,BOL,AME,2.8,116,4,2010,2.5 - 3.1,
1866,Gabon,GAB,SSA,2.8,116,-10,2010,2.1 - 3.3,
1867,Indonesia,IDN,AP,2.8,116,-5,2010,2.3 - 3.2,
1868,Kosovo,KSV,ECA,2.8,116,-115,2010,2.7 - 3.1,
1869,Solomon Islands,SLB,AP,2.8,123,-12,2010,2.3 - 3.4,
1870,Ethiopia,ETH,SSA,2.7,123,-3,2010,2.4 - 2.9,
1871,Guyana,GUY,AME,2.7,123,3,2010,2.6 - 2.8,
1872,Mali,MLI,SSA,2.7,123,-12,2010,2.2 - 3.2,
1873,Mongolia,MNG,AP,2.7,127,-7,2010,2.4 - 3.0,
1874,Mozambique,MOZ,SSA,2.7,127,3,2010,2.4 - 3.0,
1875,Tanzania,TZA,SSA,2.7,127,-1,2010,2.4 - 2.9,
1876,Vietnam,VNM,AP,2.7,127,-7,2010,2.4 - 3.1,
1877,Armenia,ARM,ECA,2.6,127,-7,2010,2.5 - 2.8,
1878,Eritrea,ERI,SSA,2.6,127,-1,2010,1.7 - 3.7,
1879,Madagascar,MDG,SSA,2.6,127,-28,2010,2.2 - 2.9,
1880,Niger,NER,SSA,2.6,134,-28,2010,2.3 - 2.9,
1881,Belarus,BLR,ECA,2.5,134,5,2010,2.1 - 3.1,
1882,Ecuador,ECU,AME,2.5,134,12,2010,2.2 - 2.7,
1883,Lebanon,LBN,MENA,2.5,134,-4,2010,2.0 - 2.9,
1884,Nicaragua,NIC,AME,2.5,134,-4,2010,2.2 - 2.7,
1885,Syria,SYR,MENA,2.5,134,-8,2010,2.1 - 2.8,
1886,Timor-Leste,TLS,AP,2.5,134,12,2010,2.1 - 2.8,
1887,Uganda,UGA,SSA,2.5,134,-4,2010,2.1 - 2.9,
1888,Azerbaijan,AZE,ECA,2.4,134,9,2010,2.1 - 2.7,
1889,Bangladesh,BGD,AP,2.4,143,-4,2010,1.9 - 3.0,
1890,Honduras,HND,AME,2.4,143,-13,2010,2.2 - 2.7,
1891,Nigeria,NGA,SSA,2.4,143,-13,2010,2.2 - 2.7,
1892,Philippines,PHL,AP,2.4,146,-7,2010,2.1 - 2.7,
1893,Togo,TGO,SSA,2.4,146,-35,2010,2.1 - 2.6,
1894,Ukraine,UKR,ECA,2.4,146,0,2010,1.8 - 3.0,
1895,Zimbabwe,ZWE,SSA,2.4,146,0,2010,2.1 - 2.6,
1896,Sierra Leone,SLE,SSA,2.4,146,0,2010,1.8 - 3.0,
1897,Maldives,MDV,AP,2.3,146,-16,2010,1.7 - 2.7,
1898,Mauritania,MRT,SSA,2.3,146,-16,2010,1.9 - 2.7,
1899,Pakistan,PAK,AP,2.3,146,-7,2010,2.1 - 2.6,
1900,Cameroon,CMR,SSA,2.2,154,-8,2010,2.0 - 2.4,
1901,Cou0302te d u0301Ivoire,CIV,SSA,2.2,154,0,2010,1.9 - 2.5,
1902,Haiti,HTI,AME,2.2,154,14,2010,2.1 - 2.3,
1903,Iran,IRN,MENA,2.2,154,14,2010,1.6 - 3.1,
1904,Libya,LBY,MENA,2.2,154,-24,2010,2.0 - 2.4,
1905,Nepal,NPL,AP,2.2,154,-11,2010,1.9 - 2.5,
1906,Paraguay,PRY,AME,2.2,154,0,2010,1.9 - 2.5,
1907,Yemen,YEM,MENA,2.2,154,0,2010,2.0 - 2.5,
1908,Russia,RUS,ECA,2.1,154,-8,2010,1.9 - 2.2,
1909,Cambodia,KHM,AP,2.1,154,4,2010,2.0 - 2.3,
1910,Tajikistan,TJK,ECA,2.1,154,4,2010,1.7 - 2.6,
1911,Papua New Guinea,PNG,AP,2.1,154,0,2010,1.9 - 2.3,
1912,Central African Republic,CAF,SSA,2.1,154,4,2010,2.0 - 2.1,
1913,Comoros,COM,SSA,2.1,154,-11,2010,2.0 - 2.3,
1914,Congo-Brazzaville,COG,SSA,2.1,154,8,2010,1.6 - 2.6,
1915,Guinea-Bissau,GNB,SSA,2.1,154,8,2010,1.8 - 2.5,
1916,Kenya,KEN,SSA,2.1,154,-8,2010,1.9 - 2.3,
1917,Laos,LAO,AP,2.1,154,4,2010,1.7 - 2.5,
1918,Guinea,GIN,SSA,2,164,4,2010,1.7 - 2.3,
1919,Democratic Republic of Congo,COD,SSA,2,164,-2,2010,1.8 - 2.2,
1920,Kyrgyzstan,KGZ,ECA,2,164,-2,2010,1.8 - 2.3,
1921,Angola,AGO,SSA,1.9,168,-6,2010,1.8 - 2.1,
1922,Equatorial Guinea,GNQ,SSA,1.9,168,0,2010,1.8 - 2.0,
1923,Burundi,BDI,SSA,1.8,170,-2,2010,1.7 - 2.1,
1924,Chad,TCD,SSA,1.7,171,4,2010,1.6 - 2.0,
1925,Sudan,SDN,SSA,1.6,172,4,2010,1.6 - 1.9,
1926,Turkmenistan,TKM,ECA,1.6,172,-4,2010,1.4 - 1.9,
1927,Uzbekistan,UZB,ECA,1.6,172,2,2010,1.4 - 1.8,
1928,Venezuela,VEN,AME,1.5,175,-13,2010,1.5 - 1.7,
1929,Iraq,IRQ,MENA,1.5,175,1,2010,1.2 - 1.9,
1930,Afghanistan,AFG,AP,1.4,176,3,2010,1.2 - 1.6,
1931,Myanmar,MMR,AP,1.4,176,2,2010,0.9 - 1.9,
1932,Somalia,SOM,SSA,1.1,178,2,2010,0.9 - 1.4,
1933,Afghanistan,AFG,AP,1.5,180,-4,2011,0.1,
1934,Albania,ALB,ECA,3.1,95,-4,2011,0.18,
1935,Algeria,DZA,MENA,2.9,112,-2,2011,0.16,
1936,Angola,AGO,SSA,2,168,0,2011,0.1,
1937,Argentina,ARG,AME,3,100,10,2011,0.21,
1938,Armenia,ARM,ECA,2.6,129,-2,2011,0.16,
1939,Australia,AUS,AP,8.8,8,0,2011,0.12,
1940,Austria,AUT,WE/EU,7.8,16,-1,2011,0.24,
1941,Azerbaijan,AZE,ECA,2.4,143,-9,2011,0.19,
1942,Bahamas,BHS,AME,7.3,21,-20,2011,0.11,
1943,Bahrain,BHR,MENA,5.1,46,4,2011,0.67,
1944,Bangladesh,BGD,AP,2.7,120,23,2011,0.34,
1945,Barbados,BRB,AME,7.8,16,1,2011,0.4,
1946,Belarus,BLR,ECA,2.4,143,-9,2011,0.1,
1947,Belgium,BEL,WE/EU,7.5,19,3,2011,0.21,
1948,Benin,BEN,SSA,3,100,16,2011,0.18,
1949,Bhutan,BTN,AP,5.7,38,-1,2011,0.28,
1950,Bolivia,BOL,AME,2.8,118,-2,2011,0.18,
1951,Bosnia and Herzegovina,BIH,ECA,3.2,91,7,2011,0.12,
1952,Botswana,BWA,SSA,6.1,32,1,2011,0.19,
1953,Brazil,BRA,AME,3.8,73,-4,2011,0.24,
1954,Brunei,BRN,AP,5.2,44,-6,2011,0.59,
1955,Bulgaria,BGR,WE/EU,3.3,86,-8,2011,0.27,
1956,Burkina Faso,BFA,SSA,3,100,5,2011,0.31,
1957,Burundi,BDI,SSA,1.9,172,-2,2011,0.14,
1958,Cambodia,KHM,AP,2.1,164,-10,2011,0.15,
1959,Cameroon,CMR,SSA,2.5,134,20,2011,0.19,
1960,Canada,CAN,AME,8.7,10,-4,2011,0.15,
1961,Cape Verde,CPV,SSA,5.5,41,7,2011,0.29,
1962,Central African Republic,CAF,SSA,2.2,154,0,2011,0.05,
1963,Chad,TCD,SSA,2,168,3,2011,0.05,
1964,Chile,CHL,AME,7.2,22,-1,2011,0.21,
1965,China,CHN,AP,3.6,75,3,2011,0.26,
1966,Colombia,COL,AME,3.4,80,-2,2011,0.29,
1967,Comoros,COM,SSA,2.4,143,11,2011,0.37,
1968,Congo Republic,COG,SSA,2.2,154,0,2011,0.1,
1969,Costa Rica,CRI,AME,4.8,50,-9,2011,0.59,
1970,Cu00f4te du00b4Ivoire,CIV,SSA,2.2,154,0,2011,0.15,
1971,Croatia,HRV,WE/EU,4,66,3,2011,0.21,
1972,Cuba,CUB,AME,4.2,61,12,2011,0.49,
1973,Cyprus,CYP,WE/EU,6.3,30,-2,2011,0.37,
1974,Czech Republic,CZE,WE/EU,4.4,57,-1,2011,0.29,
1975,Democratic Republic of the Congo,COD,SSA,2,168,-4,2011,0.09,
1976,Denmark,DNK,WE/EU,9.4,2,-1,2011,0.05,
1977,Djibouti,DJI,SSA,3,100,-2,2011,0.59,
1978,Dominica,DMA,AME,5.2,44,2,2011,0.26,
1979,Dominican Republic,DOM,AME,2.6,129,-24,2011,0.19,
1980,Ecuador,ECU,AME,2.7,120,14,2011,0.22,
1981,Egypt,EGY,MENA,2.9,112,-7,2011,0.21,
1982,El Salvador,SLV,AME,3.4,80,-2,2011,0.1,
1983,Equatorial Guinea,GNQ,SSA,1.9,172,-4,2011,0.07,
1984,Eritrea,ERI,SSA,2.5,134,-7,2011,0.56,
1985,Estonia,EST,WE/EU,6.4,29,-3,2011,0.29,
1986,Ethiopia,ETH,SSA,2.7,120,3,2011,0.18,
1987,Finland,FIN,WE/EU,9.4,2,2,2011,0.07,
1988,France,FRA,WE/EU,7,25,0,2011,0.27,
1989,FYR Macedonia,MKD,ECA,3.9,69,-2,2011,0.21,
1990,Gabon,GAB,SSA,3,100,16,2011,0.29,
1991,Gambia,GMB,SSA,3.5,77,21,2011,0.65,
1992,Georgia,GEO,ECA,4.1,64,9,2011,0.43,
1993,Germany,DEU,WE/EU,8,14,1,2011,0.18,
1994,Ghana,GHA,SSA,3.9,69,-1,2011,0.28,
1995,Greece,GRC,WE/EU,3.4,80,5,2011,0.26,
1996,Guatemala,GTM,AME,2.7,120,-19,2011,0.19,
1997,Guinea,GIN,SSA,2.1,164,0,2011,0.11,
1998,Guinea-Bissau,GNB,SSA,2.2,154,0,2011,0.1,
1999,Guyana,GUY,AME,2.5,134,-11,2011,0.1,
2000,Haiti,HTI,AME,1.8,175,-21,2011,0.14,
2001,Honduras,HND,AME,2.6,129,14,2011,0.19,
2002,Hong Kong,HKG,AP,8.4,12,1,2011,0.17,
2003,Hungary,HUN,WE/EU,4.6,54,-1,2011,0.41,
2004,Iceland,ISL,WE/EU,8.3,13,-2,2011,0.27,
2005,India,IND,AP,3.1,95,-4,2011,0.12,
2006,Indonesia,IDN,AP,3,100,16,2011,0.27,
2007,Iran,IRN,MENA,2.7,120,34,2011,0.35,
2008,Iraq,IRQ,MENA,1.8,175,0,2011,0.09,
2009,Ireland,IRL,WE/EU,7.5,19,-5,2011,0.23,
2010,Israel,ISR,MENA,5.8,36,-6,2011,0.27,
2011,Italy,ITA,WE/EU,3.9,69,0,2011,0.19,
2012,Jamaica,JAM,AME,3.3,86,5,2011,0.18,
2013,Japan,JPN,AP,8,14,3,2011,0.27,
2014,Jordan,JOR,MENA,4.5,56,-2,2011,0.29,
2015,Kazakhstan,KAZ,ECA,2.7,120,-10,2011,0.37,
2016,Kenya,KEN,SSA,2.2,154,0,2011,0.12,
2017,Kiribati,KIR,AP,3.1,95,6,2011,0.56,
2018,Korea (North),PRK,AP,1,182,-181,2011,0.24,
2019,Korea (South),KOR,AP,5.4,43,-2,2011,0.23,
2020,Kosovo,KSV,ECA,2.9,112,4,2011,0.1,
2021,Kuwait,KWT,MENA,4.6,54,2,2011,0.66,
2022,Kyrgyzstan,KGZ,ECA,2.1,164,0,2011,0.09,
2023,Laos,LAO,AP,2.2,154,0,2011,0.16,
2024,Latvia,LVA,WE/EU,4.2,61,1,2011,0.3,
2025,Lebanon,LBN,MENA,2.5,134,0,2011,0.15,
2026,Lesotho,LSO,SSA,3.5,77,8,2011,0.44,
2027,Liberia,LBR,SSA,3.2,91,0,2011,0.34,
2028,Libya,LBY,MENA,2,168,-14,2011,0.13,
2029,Lithuania,LTU,WE/EU,4.8,50,-1,2011,0.44,
2030,Luxembourg,LUX,WE/EU,8.5,11,0,2011,0.25,
2031,Macau,MAC,AP,5.1,46,4,2011,0.74,
2032,Madagascar,MDG,SSA,3,100,27,2011,0.4,
2033,Malawi,MWI,SSA,3,100,-13,2011,0.18,
2034,Malaysia,MYS,AP,4.3,60,-1,2011,0.31,
2035,Maldives,MDV,AP,2.5,134,12,2011,0.15,
2036,Mali,MLI,SSA,2.8,118,5,2011,0.2,
2037,Malta,MLT,WE/EU,5.6,39,0,2011,0.23,
2038,Mauritania,MRT,SSA,2.4,143,3,2011,0.18,
2039,Mauritius,MUS,SSA,5.1,46,-5,2011,0.37,
2040,Mexico,MEX,AME,3,100,5,2011,0.13,
2041,Moldova,MDA,ECA,2.9,112,4,2011,0.13,
2042,Mongolia,MNG,AP,2.7,120,7,2011,0.13,
2043,Montenegro,MNE,ECA,4,66,7,2011,0.5,
2044,Morocco,MAR,MENA,3.4,80,11,2011,0.37,
2045,Mozambique,MOZ,SSA,2.7,120,7,2011,0.16,
2046,Myanmar,MMR,AP,1.5,180,-4,2011,0.26,
2047,Namibia,NAM,SSA,4.4,57,2,2011,0.3,
2048,Nepal,NPL,AP,2.2,154,0,2011,0.1,
2049,Netherlands,NLD,WE/EU,8.9,7,0,2011,0.11,
2050,New Zealand,NZL,AP,9.5,1,0,2011,0.05,
2051,Nicaragua,NIC,AME,2.5,134,0,2011,0.21,
2052,Niger,NER,SSA,2.5,134,0,2011,0.17,
2053,Nigeria,NGA,SSA,2.4,143,0,2011,0.14,
2054,Norway,NOR,WE/EU,9,6,4,2011,0.07,
2055,Oman,OMN,MENA,4.8,50,-6,2011,0.82,
2056,Pakistan,PAK,AP,2.5,134,12,2011,0.13,
2057,Panama,PAN,AME,3.3,86,-8,2011,0.23,
2058,Papua New Guinea,PNG,AP,2.2,154,0,2011,0.16,
2059,Paraguay,PRY,AME,2.2,154,0,2011,0.17,
2060,Peru,PER,AME,3.4,80,7,2011,0.16,
2061,Philippines,PHL,AP,2.6,129,17,2011,0.19,
2062,Poland,POL,WE/EU,5.5,41,4,2011,0.3,
2063,Portugal,PRT,WE/EU,6.1,32,0,2011,0.42,
2064,Puerto Rico,PRI,AME,5.6,39,-6,2011,0.48,
2065,Qatar,QAT,MENA,7.2,22,-3,2011,0.79,
2066,Romania,ROU,WE/EU,3.6,75,-2,2011,0.17,
2067,Russia,RUS,ECA,2.4,143,11,2011,0.22,
2068,Rwanda,RWA,SSA,5,49,20,2011,0.72,
2069,Saint Lucia,LCA,AME,7,25,-24,2011,0.26,
2070,Saint Vincent and the Grenadines,VCT,AME,5.8,36,-35,2011,0.73,
2071,Samoa,WSM,AP,3.9,69,0,2011,0.35,
2072,Sao Tome & Principe,STP,SSA,3,100,10,2011,0.19,
2073,Saudi Arabia,SAU,MENA,4.4,57,-3,2011,0.86,
2074,Senegal,SEN,SSA,2.9,112,4,2011,0.15,
2075,Serbia,SRB,ECA,3.3,86,1,2011,0.2,
2076,Seychelles,SYC,SSA,4.8,50,0,2011,0.97,
2077,Sierra Leone,SLE,SSA,2.5,134,12,2011,0.15,
2078,Singapore,SGP,AP,9.2,5,-4,2011,0.13,
2079,Slovakia,SVK,WE/EU,4,66,-4,2011,0.36,
2080,Slovenia,SVN,WE/EU,5.9,35,-8,2011,0.39,
2081,Solomon Islands,SLB,AP,2.7,120,3,2011,0.28,
2082,Somalia,SOM,SSA,1,182,-4,2011,0.23,
2083,South Africa,ZAF,SSA,4.1,64,-8,2011,0.21,
2084,Spain,ESP,WE/EU,6.2,31,-1,2011,0.28,
2085,Sri Lanka,LKA,AP,3.3,86,15,2011,0.23,
2086,Sudan,SDN,SSA,1.6,177,-5,2011,0.08,
2087,Suriname,SUR,AME,3,100,-99,2011,0.37,
2088,Swaziland,SWZ,AP,3.1,95,10,2011,0.08,
2089,Sweden,SWE,WE/EU,9.3,4,0,2011,0.08,
2090,Switzerland,CHE,WE/EU,8.8,8,0,2011,0.22,
2091,Syria,SYR,MENA,2.6,129,5,2011,0.16,
2092,Taiwan,TWN,AP,6.1,32,4,2011,0.31,
2093,Tajikistan,TJK,ECA,2.3,152,2,2011,0.28,
2094,Tanzania,TZA,SSA,3,100,27,2011,0.18,
2095,Thailand,THA,AP,3.4,80,7,2011,0.15,
2096,Timor-Leste,TLS,AP,2.4,143,-9,2011,0.26,
2097,Togo,TGO,SSA,2.4,143,3,2011,0.08,
2098,Tonga,TON,AP,3.1,95,15,2011,0.17,
2099,Trinidad and Tobago,TTO,AME,3.2,91,-13,2011,0.32,
2100,Tunisia,TUN,MENA,3.8,73,-7,2011,0.67,
2101,Turkey,TUR,ECA,4.2,61,-2,2011,0.22,
2102,Turkmenistan,TKM,ECA,1.6,177,-5,2011,0.12,
2103,Uganda,UGA,SSA,2.4,143,-9,2011,0.13,
2104,Ukraine,UKR,ECA,2.3,152,-6,2011,0.1,
2105,United Arab Emirates,ARE,MENA,6.8,28,0,2011,0.46,
2106,United Kingdom,GBR,WE/EU,7.8,16,4,2011,0.15,
2107,United States,USA,AME,7.1,24,-2,2011,0.4,
2108,Uruguay,URY,AME,7,25,-1,2011,0.28,
2109,Uzbekistan,UZB,ECA,1.6,177,-5,2011,0.11,
2110,Vanuatu,VUT,AP,3.5,77,1,2011,0.92,
2111,Venezuela,VEN,AME,1.9,172,3,2011,0.1,
2112,Vietnam,VNM,AP,2.9,112,15,2011,0.17,
2113,Yemen,YEM,MENA,2.1,164,-10,2011,0.12,
2114,Zambia,ZMB,SSA,3.2,91,19,2011,0.31,
2115,Zimbabwe,ZWE,SSA,2.2,154,-8,2011,0.37,
